isbn,Cluster,rating
0001850121,0,8.0
0002005018,0,9.0
0002211890,0,7.0
0002214067,0,10.0
0002233509,0,0.0
0002237857,0,4.0
0002240009,0,8.0
0002245663,0,0.0
0002251485,0,3.5
000225929X,0,0.0
0002261820,0,8.5
0003701387,0,8.0
0006176909,0,8.0
0006275192,0,0.0
0006377157,0,6.0
0006380158,0,8.0
0006485294,0,6.0
0006485936,0,4.25
000649613X,0,5.0
0006497993,0,6.0
0006511309,0,7.0
0006543545,0,0.0
0006545726,0,0.0
0006548830,0,3.0
0006550576,0,6.0
0006550789,0,3.5
0006754864,0,0.0
0006915612,0,8.0
0007110928,0,3.6
0007111819,0,7.0
000712614X,0,8.0
000714346X,0,8.0
0020029101,0,0.0
0020198906,0,4.333333333333333
0020238207,0,8.0
002026478X,0,4.6
002031275X,0,9.0
0020360754,0,8.0
0020418205,0,9.0
0020418809,0,0.0
0020421907,0,8.0
0020427859,0,0.0
0020434901,0,8.0
0020435207,0,8.5
0020441509,0,0.0
0020442203,0,6.0
0020442300,0,8.0
0020518501,0,3.5
002054555X,0,6.0
0020790317,0,0.0
0020821255,0,5.0
0020868308,0,0.0
0020885709,0,10.0
0025196359,0,3.0
0025354817,0,7.0
002542730X,0,5.666666666666667
0025474804,0,8.0
0025631403,0,0.0
002588591X,0,6.0
0027382001,0,8.0
0027563405,0,0.0
0027583600,0,8.0
0027701301,0,10.0
0028604202,0,0.0
0028609980,0,0.0
0028610083,0,7.0
0028629078,0,5.0
0028634926,0,1.0
0028635949,0,3.5
0028639820,0,0.0
0028640055,0,0.0
0028642082,0,5.0
0028644034,0,0.0
0028645243,0,4.0
0028740025,0,9.0
0029234905,0,6.0
0029256208,0,0.0
0029281113,0,0.0
0029283752,0,0.0
0029350352,0,0.0
0030098750,0,0.0
0030157188,0,5.0
0030363160,0,8.0
0030615526,0,0.0
0030624363,0,9.0
0030632366,0,0.0
0030686784,0,10.0
0044451121,0,0.0
0045720207,0,0.0
0060007192,0,8.0
006000780X,0,3.5
0060008725,0,7.0
0060008776,0,5.125
0060008865,0,10.0
0060009241,0,0.0
006001007X,0,7.0
0060011610,0,10.0
006001203X,0,5.0
0060012811,0,0.0
0060013117,0,4.0
0060013125,0,8.5
0060014342,0,1.5
0060081597,0,7.0
006008166X,0,6.0
0060083255,0,0.0
0060083999,0,7.0
0060084405,0,5.2
0060084537,0,0.0
0060085924,0,7.0
0060087439,0,8.0
0060088613,0,0.0
006008877X,0,0.0
0060090324,0,10.0
0060090367,0,9.0
0060090375,0,0.0
0060092130,0,5.0
0060092572,0,5.0
0060092653,0,0.0
0060092661,0,9.0
0060094109,0,4.5
0060094850,0,6.0
0060095288,0,8.0
0060107278,0,7.0
0060139145,0,5.0
0060148934,0,0.0
0060149205,0,0.0
0060151641,0,6.0
0060152028,0,9.5
006015781X,0,4.0
0060159790,0,0.0
0060160276,0,8.0
006016042X,0,8.0
0060160713,0,9.0
0060161183,0,4.0
0060161701,0,0.0
0060161744,0,0.0
0060162619,0,5.0
0060162767,0,3.0
0060163704,0,5.666666666666667
0060163747,0,9.0
0060164549,0,8.0
0060165901,0,0.0
0060165979,0,0.0
0060165987,0,0.0
0060166037,0,10.0
0060166673,0,4.5
0060166770,0,7.0
0060166851,0,8.0
0060168013,0,5.875
0060168382,0,0.0
0060168706,0,5.333333333333333
0060168862,0,8.0
0060168889,0,0.0
0060169443,0,0.0
0060170166,0,8.0
0060170832,0,0.0
0060171162,0,6.0
0060171626,0,0.0
0060171928,0,2.0
0060172231,0,0.0
0060172789,0,0.0
0060173122,0,0.0
0060173629,0,9.0
0060173769,0,4.0
0060173793,0,3.0
0060173890,0,0.0
0060174633,0,7.0
0060174722,0,10.0
0060174862,0,0.0
006017515X,0,7.0
0060175400,0,5.15625
0060175605,0,8.0
0060175869,0,8.0
0060175931,0,4.0
0060175966,0,5.0
0060176075,0,0.0
0060176148,0,5.5
006017658X,0,8.0
0060176806,0,6.5
0060177128,0,8.0
0060177217,0,4.5
0060177225,0,0.0
0060177233,0,7.0
0060177640,0,0.0
0060177721,0,0.0
0060177888,0,3.6
0060178213,0,0.0
0060178221,0,0.0
0060179333,0,8.5
006017935X,0,7.0
0060179384,0,5.0
0060179430,0,7.0
0060179457,0,0.0
0060179791,0,8.0
0060182938,0,5.0
0060183225,0,0.0
0060183330,0,0.0
0060183349,0,0.0
0060183357,0,0.0
0060183578,0,7.0
0060183691,0,0.0
0060184957,0,2.6666666666666665
0060185082,0,7.0
0060185147,0,7.75
0060185252,0,0.0
0060185406,0,7.0
0060185546,0,8.0
0060186267,0,8.0
0060186275,0,8.0
0060186305,0,9.0
0060187271,0,4.142857142857143
0060187425,0,4.0
0060187468,0,0.0
0060187476,0,7.0
0060187689,0,10.0
0060187840,0,7.5
0060188057,0,7.0
0060188731,0,4.444444444444445
0060188952,0,3.0
0060190094,0,5.0
0060191058,0,10.0
0060191384,0,8.0
0060191821,0,8.0
0060192356,0,0.0
0060192488,0,0.0
006019250X,0,10.0
0060193123,0,0.0
0060193328,0,0.0
0060193611,0,3.0
0060194219,0,8.0
0060194448,0,5.75
0060194979,0,0.0
0060195703,0,4.0
006019619X,0,0.0
0060196300,0,0.0
0060196319,0,6.5
0060197005,0,0.0
0060197749,0,6.0
0060198753,0,0.0
0060199563,0,9.0
006019958X,0,9.0
0060199598,0,0.0
0060199652,0,5.0
0060199865,0,4.0
0060229357,0,10.0
0060230398,0,9.0
0060233761,0,6.0
0060234970,0,0.0
0060240210,0,7.0
0060247827,0,8.0
0060248025,0,9.0
0060253649,0,8.0
0060256656,0,5.0
0060256672,0,4.5
0060263539,0,6.0
0060273240,0,7.0
0060280786,0,10.0
0060280921,0,10.0
0060283122,0,9.0
0060283130,0,8.0
0060283289,0,7.0
0060283971,0,8.0
0060287802,0,7.5
0060288140,0,10.0
0060294655,0,5.0
0060294671,0,7.0
006029471X,0,8.0
0060298812,0,0.0
0060380225,0,0.0
0060391448,0,5.5
0060391472,0,7.5
0060391537,0,3.0
0060391626,0,4.333333333333333
0060391677,0,7.0
0060391685,0,10.0
0060392185,0,0.0
0060392452,0,5.578947368421052
0060392665,0,4.0
0060392827,0,3.0
0060392991,0,6.0
0060393297,0,5.0
0060393831,0,0.0
006039384X,0,7.0
0060393904,0,2.0
0060394447,0,7.0
0060502258,0,4.903225806451613
0060502304,0,8.0
0060502312,0,5.0
0060504080,0,5.0
0060505257,0,2.5
0060505370,0,4.0
0060506512,0,10.0
0060506989,0,6.333333333333333
0060507403,0,9.0
0060507837,0,8.0
0060509058,0,7.0
0060509392,0,2.3333333333333335
0060512601,0,0.0
0060512806,0,4.75
0060512822,0,3.6666666666666665
0060514558,0,9.0
0060514930,0,0.0
0060514957,0,6.0
0060516216,0,6.0
0060517794,0,9.0
0060519134,0,9.0
0060520612,0,10.0
0060523794,0,0.0
006052510X,0,8.0
0060529148,0,8.0
006052992X,0,5.0
0060534044,0,3.0
0060537639,0,0.0
0060537957,0,4.0
0060539860,0,6.333333333333333
0060540753,0,10.0
006054564X,0,0.0
0060548258,0,9.0
006055584X,0,5.0
0060557540,0,9.0
0060559624,0,0.0
0060565578,0,0.0
0060568984,0,9.0
006059036X,0,0.0
0060592141,0,9.0
0060612525,0,7.0
0060613998,0,6.0
0060617225,0,0.0
006061725X,0,8.0
0060627573,0,0.0
0060634642,0,0.0
0060639059,0,8.0
0060645881,0,0.0
0060647361,0,3.5
0060652934,0,6.0
0060670223,0,0.0
006067055X,0,0.0
0060723521,0,9.0
0060761555,0,0.0
0060801921,0,10.0
0060804157,0,0.0
0060807792,0,9.0
0060808144,0,6.0
0060808934,0,0.0
0060809779,0,4.0
006090674X,0,7.0
0060907924,0,10.0
0060909927,0,1.0
006091307X,0,4.0
0060914165,0,0.0
0060914653,0,4.571428571428571
0060915188,0,5.0
0060915455,0,0.0
006091565X,0,8.5
0060916338,0,4.0
0060916508,0,5.5
0060919655,0,7.0
0060919884,0,7.0
0060919949,0,9.0
0060920076,0,0.0
0060920386,0,0.0
0060922583,0,9.0
0060923288,0,4.0
0060923296,0,7.0
0060923717,0,10.0
0060924322,0,5.0
0060924594,0,10.0
0060924837,0,7.666666666666667
0060924985,0,2.5
0060924993,0,8.0
0060925485,0,3.5
0060925493,0,10.0
0060925515,0,10.0
0060926058,0,0.0
0060926201,0,5.75
006092635X,0,6.0
0060926708,0,10.0
0060927240,0,5.0
0060927488,0,5.0
0060927542,0,0.0
0060927569,0,9.0
0060927860,0,4.0
0060928069,0,0.0
0060928336,0,5.359375
0060928360,0,0.0
0060928379,0,0.0
0060928514,0,9.5
0060928867,0,0.0
0060929227,0,8.0
0060929693,0,9.5
0060929804,0,5.0
0060929847,0,8.0
0060929952,0,4.0
0060930071,0,5.0
0060930187,0,5.0
0060930861,0,0.0
0060930888,0,9.0
006093090X,0,2.8
0060931078,0,8.0
0060931280,0,0.0
0060931302,0,9.0
0060931388,0,8.0
0060931418,0,3.2857142857142856
