Country,ID,Age
usa,1,
usa,2,18.0
usa,6,61.0
usa,9,
usa,12,
usa,14,
usa,16,
usa,20,19.0
usa,23,
usa,25,55.0
usa,26,
usa,27,32.0
usa,30,24.0
usa,33,34.0
usa,35,17.0
usa,40,32.0
usa,41,14.0
usa,42,17.0
usa,44,51.0
usa,48,
usa,51,34.0
usa,54,44.0
usa,59,23.0
usa,61,30.0
usa,62,
usa,63,57.0
usa,73,
usa,75,37.0
usa,76,
usa,81,
usa,82,
usa,84,
usa,88,
usa,89,54.0
usa,90,42.0
usa,93,50.0
usa,95,
usa,97,
usa,103,53.0
usa,104,47.0
usa,106,
usa,108,
usa,110,
usa,113,
usa,115,
usa,116,
usa,117,57.0
usa,119,35.0
usa,121,
usa,122,
usa,123,24.0
usa,124,58.0
usa,125,49.0
usa,128,
usa,129,47.0
usa,131,
usa,136,
usa,138,28.0
usa,141,
usa,142,
usa,143,26.0
usa,144,62.0
usa,146,
usa,147,
usa,159,
usa,167,
usa,168,44.0
usa,169,
usa,170,
usa,173,
usa,178,28.0
usa,184,
usa,186,
usa,187,29.0
usa,188,17.0
usa,192,
usa,194,
usa,195,23.0
usa,203,
usa,207,
usa,210,54.0
usa,213,
usa,214,27.0
usa,217,
usa,222,
usa,225,
usa,226,
usa,228,41.0
usa,239,
usa,241,
usa,245,31.0
usa,256,
usa,259,45.0
usa,260,51.0
usa,262,28.0
usa,263,
usa,267,29.0
usa,273,
usa,276,
usa,278,21.0
usa,280,
usa,283,
usa,286,17.0
usa,287,
usa,288,19.0
usa,289,15.0
usa,290,
usa,292,22.0
usa,294,
usa,295,28.0
usa,297,27.0
usa,298,
usa,300,
usa,301,32.0
usa,302,53.0
usa,303,
usa,304,24.0
usa,305,
usa,306,
usa,317,41.0
usa,320,37.0
usa,327,
usa,328,33.0
usa,332,59.0
usa,338,
usa,343,
usa,345,27.0
usa,348,
usa,352,28.0
usa,358,
usa,367,45.0
usa,368,35.0
usa,370,
usa,378,57.0
usa,380,
usa,381,
usa,390,48.0
usa,391,
usa,400,
usa,403,
usa,404,37.0
usa,411,27.0
usa,412,
usa,414,34.0
usa,415,
usa,416,31.0
usa,417,
usa,418,
usa,419,14.0
usa,421,47.0
usa,426,
usa,428,
usa,429,25.0
usa,434,
usa,435,
usa,439,
usa,443,47.0
usa,445,
usa,448,22.0
usa,449,
usa,451,33.0
usa,452,
usa,453,
usa,456,31.0
usa,458,17.0
usa,459,37.0
usa,462,18.0
usa,465,
usa,466,
usa,467,
usa,468,
usa,469,18.0
usa,470,0.0
usa,474,
usa,477,45.0
usa,478,13.0
usa,479,
usa,480,62.0
usa,481,
usa,482,46.0
usa,484,17.0
usa,485,51.0
usa,488,25.0
usa,490,
usa,492,60.0
usa,495,
usa,496,51.0
usa,497,51.0
usa,498,29.0
usa,502,47.0
usa,504,29.0
usa,509,
usa,510,
usa,511,
usa,512,58.0
usa,513,
usa,514,30.0
usa,515,24.0
usa,517,22.0
usa,520,
usa,521,
usa,523,19.0
usa,529,28.0
usa,531,56.0
usa,534,59.0
usa,539,
usa,540,67.0
usa,541,45.0
usa,545,
usa,547,
usa,548,
usa,549,
usa,556,31.0
usa,557,49.0
usa,559,
usa,560,
usa,561,35.0
usa,563,
usa,570,
usa,588,60.0
usa,591,42.0
usa,592,
usa,597,43.0
usa,599,36.0
usa,602,23.0
usa,604,42.0
usa,605,
usa,606,
usa,608,30.0
usa,612,20.0
usa,616,34.0
usa,627,
usa,631,
usa,632,15.0
usa,636,
usa,641,
usa,642,37.0
usa,644,
usa,649,
usa,650,
usa,652,
usa,655,58.0
usa,658,61.0
usa,677,27.0
usa,679,65.0
usa,680,28.0
usa,682,44.0
usa,684,44.0
usa,690,80.0
usa,692,44.0
usa,693,58.0
usa,694,
usa,701,31.0
usa,702,53.0
usa,703,52.0
usa,704,
usa,706,
usa,708,
usa,715,
usa,718,30.0
usa,721,
usa,722,66.0
usa,723,
usa,724,
usa,731,
usa,737,
usa,738,
usa,740,
usa,742,
usa,744,48.0
usa,747,
usa,749,
usa,752,
usa,756,
usa,757,29.0
usa,760,
usa,764,28.0
usa,765,
usa,766,52.0
usa,769,
usa,771,38.0
usa,778,
usa,780,
usa,783,
usa,784,39.0
usa,785,
usa,787,
usa,788,
usa,791,
usa,792,44.0
usa,793,
usa,794,47.0
usa,795,
usa,796,
usa,797,
usa,798,
usa,800,
usa,801,51.0
usa,804,38.0
usa,806,
usa,810,
