User_ID,Country,Age,Cluster
1,usa,59,0
2,usa,18,1
6,usa,61,0
9,usa,59,0
12,usa,59,0
14,usa,59,0
16,usa,59,0
20,usa,19,1
23,usa,59,0
25,usa,55,0
26,usa,59,0
27,usa,32,2
30,usa,24,1
33,usa,34,2
35,usa,17,1
40,usa,32,2
41,usa,14,1
42,usa,17,1
44,usa,51,0
48,usa,59,0
51,usa,34,2
54,usa,44,2
59,usa,23,1
61,usa,30,1
62,usa,59,0
63,usa,57,0
73,usa,59,0
75,usa,37,2
76,usa,59,0
81,usa,59,0
82,usa,59,0
84,usa,59,0
88,usa,59,0
89,usa,54,0
90,usa,42,2
93,usa,50,0
95,usa,59,0
97,usa,59,0
103,usa,53,0
104,usa,47,2
106,usa,59,0
108,usa,59,0
110,usa,59,0
113,usa,59,0
115,usa,59,0
116,usa,59,0
117,usa,57,0
119,usa,35,2
121,usa,59,0
122,usa,59,0
123,usa,24,1
124,usa,58,0
125,usa,49,0
128,usa,59,0
129,usa,47,2
131,usa,59,0
136,usa,59,0
138,usa,28,1
141,usa,59,0
142,usa,59,0
143,usa,26,1
144,usa,62,0
146,usa,59,0
147,usa,59,0
159,usa,59,0
167,usa,59,0
168,usa,44,2
169,usa,59,0
170,usa,59,0
173,usa,59,0
178,usa,28,1
184,usa,59,0
186,usa,59,0
187,usa,29,1
188,usa,17,1
192,usa,59,0
194,usa,59,0
195,usa,23,1
203,usa,59,0
207,usa,59,0
210,usa,54,0
213,usa,59,0
214,usa,27,1
217,usa,59,0
222,usa,59,0
225,usa,59,0
226,usa,59,0
228,usa,41,2
239,usa,59,0
241,usa,59,0
245,usa,31,2
256,usa,59,0
259,usa,45,2
260,usa,51,0
262,usa,28,1
263,usa,59,0
267,usa,29,1
273,usa,59,0
276,usa,59,0
278,usa,21,1
280,usa,59,0
283,usa,59,0
286,usa,17,1
287,usa,59,0
288,usa,19,1
289,usa,15,1
290,usa,59,0
292,usa,22,1
294,usa,59,0
295,usa,28,1
297,usa,27,1
298,usa,59,0
300,usa,59,0
301,usa,32,2
302,usa,53,0
303,usa,59,0
304,usa,24,1
305,usa,59,0
306,usa,59,0
317,usa,41,2
320,usa,37,2
327,usa,59,0
328,usa,33,2
332,usa,59,0
338,usa,59,0
343,usa,59,0
345,usa,27,1
348,usa,59,0
352,usa,28,1
358,usa,59,0
367,usa,45,2
368,usa,35,2
370,usa,59,0
378,usa,57,0
380,usa,59,0
381,usa,59,0
390,usa,48,2
391,usa,59,0
400,usa,59,0
403,usa,59,0
404,usa,37,2
411,usa,27,1
412,usa,59,0
414,usa,34,2
415,usa,59,0
416,usa,31,2
417,usa,59,0
418,usa,59,0
419,usa,14,1
421,usa,47,2
426,usa,59,0
428,usa,59,0
429,usa,25,1
434,usa,59,0
435,usa,59,0
439,usa,59,0
443,usa,47,2
445,usa,59,0
448,usa,22,1
449,usa,59,0
451,usa,33,2
452,usa,59,0
453,usa,59,0
456,usa,31,2
458,usa,17,1
459,usa,37,2
462,usa,18,1
465,usa,59,0
466,usa,59,0
467,usa,59,0
468,usa,59,0
469,usa,18,1
470,usa,0,1
474,usa,59,0
477,usa,45,2
478,usa,13,1
479,usa,59,0
480,usa,62,0
481,usa,59,0
482,usa,46,2
484,usa,17,1
485,usa,51,0
488,usa,25,1
490,usa,59,0
492,usa,60,0
495,usa,59,0
496,usa,51,0
497,usa,51,0
498,usa,29,1
502,usa,47,2
504,usa,29,1
509,usa,59,0
510,usa,59,0
511,usa,59,0
512,usa,58,0
513,usa,59,0
514,usa,30,1
515,usa,24,1
517,usa,22,1
520,usa,59,0
521,usa,59,0
523,usa,19,1
529,usa,28,1
531,usa,56,0
534,usa,59,0
539,usa,59,0
540,usa,67,0
541,usa,45,2
545,usa,59,0
547,usa,59,0
548,usa,59,0
549,usa,59,0
556,usa,31,2
557,usa,49,0
559,usa,59,0
560,usa,59,0
561,usa,35,2
563,usa,59,0
570,usa,59,0
588,usa,60,0
591,usa,42,2
592,usa,59,0
597,usa,43,2
599,usa,36,2
602,usa,23,1
604,usa,42,2
605,usa,59,0
606,usa,59,0
608,usa,30,1
612,usa,20,1
616,usa,34,2
627,usa,59,0
631,usa,59,0
632,usa,15,1
636,usa,59,0
641,usa,59,0
642,usa,37,2
644,usa,59,0
649,usa,59,0
650,usa,59,0
652,usa,59,0
655,usa,58,0
658,usa,61,0
677,usa,27,1
679,usa,65,0
680,usa,28,1
682,usa,44,2
684,usa,44,2
690,usa,80,0
692,usa,44,2
693,usa,58,0
694,usa,59,0
701,usa,31,2
702,usa,53,0
703,usa,52,0
704,usa,59,0
706,usa,59,0
708,usa,59,0
715,usa,59,0
718,usa,30,1
721,usa,59,0
722,usa,66,0
723,usa,59,0
724,usa,59,0
731,usa,59,0
737,usa,59,0
738,usa,59,0
740,usa,59,0
742,usa,59,0
744,usa,48,2
747,usa,59,0
749,usa,59,0
752,usa,59,0
756,usa,59,0
757,usa,29,1
760,usa,59,0
764,usa,28,1
765,usa,59,0
766,usa,52,0
769,usa,59,0
771,usa,38,2
778,usa,59,0
780,usa,59,0
783,usa,59,0
784,usa,39,2
785,usa,59,0
787,usa,59,0
788,usa,59,0
791,usa,59,0
792,usa,44,2
793,usa,59,0
