score,user_rating,elastic_score,isbn,book_title,book_author,year_of_publication,publisher,summary,category
7.3809523809523805,5,10.0,0883367661,That Man,Annie Billups,1990,Signal Hill Publications,"An older couple, while traveling in Florida during their retirement,
discovers that a dangerous man is following them.",['language arts & disciplines']
7.3231255014807495,5,9.878563553109574,068814179X,Hit Man,Lawrence Block,1998,William Morrow,"Keller is a killer. Professional, cool, confident, competent,
reliable. The consummate pro. The hit man&#39;s hit man.",['fiction']
7.184330580745026,5,9.587094219564555,0451151224,The Running Man,Stephen King,1987,Signet Book,"In a novel set in the very near future, a man seeks to beat the odds
and survive his participation in the nefarious TV game show called
&quot;The Running Man&quot;",['fiction']
7.184330580745026,5,9.587094219564555,0679439374,The First Man,Albert Camus,1995,Alfred A. Knopf,"Traces the story of Jacques Cormery, a young man who rose above the
loses and misfortunes of his childhood in Algeria The First Man is a
radiant, deeply moving novel of childhood.",['fiction']
7.157960415611204,5,9.53171687278353,0471653381,Climate and Man's Environment,John E. Oliver,1978,John Wiley & Sons Inc,"Climate and environment. Climate, man, and mans activities. Climates
of the past and climatic change.",['climatology']
7.150800684751373,5,9.516681437977885,0374270325,A Man in Full,Tom Wolfe,1998,Farrar Straus & Giroux,A Man in Full is a 1998 National Book Award Finalist for Fiction.,['fiction']
7.1430851772761565,5,9.50047887227993,0440212022,Shadow Man,Dennis Etchison,1993,Dell Publishing Company,"In her work with disturbed children, Lissa begins to notice that more
and more children have reported a tale of a man with no face--a man
that all the adults insist is merely a childish fantasy. Original.",['fiction']
7.111330861334402,5,9.433794808802244,0671019759,Dream Man,Linda Howard,1998,Pocket,Had she finally met the man she longed for...or was she dreaming?,['fiction']
7.107400652586883,5,9.425541370432455,0786014415,The First Mountain Man: Preacher (First Mountain Man),William W. Johnstone,2002,Pinnacle Books,"Before the legend of Preacher there was a man, and before the man
there was a boy. In this thrilling new novel, William W. Johnstone
tells the story of a young man filled with wanderlust and raw courage-
who would someday become a hero. ..",['fiction']
7.051558763708916,5,9.308273403788723,0694016446,Spider-Man: I Am Spider-Man,Acton Figueroa,2002,HarperFestival,"Spider-Man introduces himself, his friends and family, and his
enemies.",['juvenile fiction']
7.038359501402596,5,9.280554952945451,1551660776,Montana Man,Barbara Delinsky,1995,Mira,"Montana Man by Barbara Delinsky released on Sep 22, 1995 is available
now for purchase.",['fiction']
7.038359501402596,5,9.280554952945451,1551660156,Granite Man,Elizabeth Lowell,1994,Mira,"Granite Man by Elizabeth Lowell released on Nov 24, 1994 is available
now for purchase.",['fiction']
7.038359501402596,5,9.280554952945451,0373227167,The Masked Man,B.J. Daniels,2003,Harlequin,"The Masked Man by B.J. Daniels released on May 23, 2003 is available
now for purchase.",['fiction']
7.038359501402596,5,9.280554952945451,1551660091,Rawhide Man,Diana Palmer,1994,Mira,"The Rawhide Man by Diana Palmer released on Oct 25, 1994 is available
now for purchase.",['fiction']
7.038359501402596,5,9.280554952945451,1551668106,Granite Man,Elizabeth Lowell,2001,Mira,"Granite Man by Elizabeth Lowell released on Jan 25, 2001 is available
now for purchase.",['fiction']
7.038359501402596,5,9.280554952945451,0307101088,The Gingerbread Man,Richard Scarry,1981,Golden Books Publishing Company,"A retelling of the traditional cumulative story about the little
gingerbread man who outfoxes himself.",['deception']
7.038359501402596,5,9.280554952945451,0373711069,The Man Upstairs,Pamela Bauer,2003,Harlequin,"The Man Upstairs by Pamela Bauer released on Dec 25, 2002 is available
now for purchase.",['fiction']
7.038359501402596,5,9.280554952945451,1551668157,About That Man,Sherryl Woods,2001,Mira,"About That Man by Sherryl Woods released on May 25, 2001 is available
now for purchase.",['fiction']
