,uid,age,country_id
0,1,60.0,0
1,2,18.0,0
2,3,60.0,1
3,4,17.0,2
4,5,60.0,3
5,6,61.0,0
6,9,60.0,0
7,11,14.0,4
8,12,60.0,0
9,13,26.0,5
10,14,60.0,0
11,15,60.0,6
12,16,60.0,0
13,18,25.0,7
14,19,14.0,519
15,20,19.0,0
16,21,46.0,5
17,23,60.0,0
18,24,19.0,9
19,25,55.0,0
20,26,60.0,0
21,27,32.0,0
22,28,24.0,9
23,29,19.0,10
24,30,24.0,0
25,31,20.0,11
26,33,34.0,0
27,34,60.0,3
28,35,17.0,0
29,36,24.0,6
30,37,23.0,5
31,40,32.0,0
32,41,14.0,0
33,42,17.0,0
34,43,60.0,12
35,44,51.0,0
36,45,60.0,9
37,46,31.0,9
38,47,21.0,13
39,48,60.0,0
40,49,60.0,13
41,50,17.0,3
42,51,34.0,0
43,52,60.0,9
44,54,44.0,0
45,55,60.0,6
46,57,60.0,13
47,58,60.0,6
48,59,23.0,0
49,60,60.0,13
50,61,30.0,0
51,62,60.0,0
52,63,57.0,0
53,65,60.0,4
54,66,30.0,6
55,68,60.0,6
56,71,24.0,6
57,72,34.0,3
58,73,60.0,0
59,74,30.0,14
60,75,37.0,0
61,76,60.0,0
62,77,60.0,6
63,79,20.0,6
64,80,60.0,6
65,81,60.0,0
66,82,60.0,0
67,84,60.0,0
68,88,60.0,0
69,89,54.0,0
70,90,42.0,0
71,91,60.0,591
72,93,50.0,0
73,94,39.0,15
74,95,60.0,0
75,96,60.0,16
76,97,60.0,0
77,98,19.0,17
78,101,26.0,18
79,103,53.0,0
80,104,47.0,0
81,105,36.0,3
82,106,60.0,0
83,107,60.0,6
84,108,60.0,0
85,110,60.0,0
86,111,25.0,2
87,112,32.0,10
88,113,60.0,0
89,115,60.0,0
90,116,60.0,0
91,117,57.0,0
92,118,28.0,19
93,119,35.0,0
94,120,13.0,20
95,121,60.0,0
96,122,60.0,0
97,123,24.0,0
98,124,58.0,0
99,125,49.0,0
100,126,24.0,14
101,127,28.0,21
102,128,60.0,0
103,129,47.0,0
104,130,60.0,13
105,131,60.0,0
106,134,60.0,4
107,136,60.0,0
108,138,28.0,0
109,140,24.0,9
110,141,60.0,0
111,142,60.0,0
112,143,26.0,0
113,144,62.0,0
114,145,60.0,3
115,146,60.0,0
116,147,60.0,0
117,148,63.0,3
118,149,60.0,22
119,150,25.0,23
120,151,60.0,4
121,152,26.0,14
122,153,24.0,20
123,154,60.0,6
124,155,60.0,24
125,156,20.0,25
126,157,36.0,13
127,158,38.0,9
128,159,60.0,0
129,161,27.0,2
130,163,60.0,26
131,164,33.0,10
132,166,20.0,4
133,167,60.0,0
134,168,44.0,0
135,169,60.0,0
136,170,60.0,0
137,171,29.0,7
138,172,66.0,7
139,173,60.0,0
140,174,31.0,27
141,175,60.0,2
142,177,46.0,14
143,178,28.0,0
144,179,60.0,28
145,180,60.0,29
146,181,60.0,28
147,184,60.0,0
148,186,60.0,0
149,187,29.0,0
150,188,17.0,0
