User_ID,Age,Country,Country_ID,cluster
1,49,usa,0,1
2,18,usa,0,2
3,59,russia,1,1
4,17,portugal,2,2
5,94,united kingdom,3,0
6,61,usa,0,1
9,51,usa,0,1
11,14,australia,4,2
12,76,usa,0,0
13,26,spain,5,2
14,24,usa,0,2
15,40,canada,6,1
16,87,usa,0,0
18,25,brazil,7,2
19,14,,8,2
20,19,usa,0,2
21,46,spain,5,1
23,65,usa,0,1
24,19,germany,9,2
25,55,usa,0,1
26,101,usa,0,0
27,32,usa,0,2
28,24,germany,9,2
29,19,mexico,10,2
30,24,usa,0,2
31,20,china,11,2
33,34,usa,0,2
34,65,united kingdom,3,1
35,17,usa,0,2
36,24,canada,6,2
37,23,spain,5,2
40,32,usa,0,2
41,14,usa,0,2
42,17,usa,0,2
43,118,distrito federal,12,0
44,51,usa,0,1
45,74,germany,9,1
46,31,germany,9,2
47,21,italy,13,2
48,46,usa,0,1
49,6,italy,13,2
50,17,united kingdom,3,2
51,34,usa,0,2
52,14,germany,9,2
54,44,usa,0,1
55,90,canada,6,0
57,76,italy,13,0
58,87,canada,6,0
59,23,usa,0,2
60,36,italy,13,2
61,30,usa,0,2
62,85,usa,0,0
63,57,usa,0,1
65,68,australia,4,1
66,30,canada,6,2
68,78,canada,6,0
71,24,canada,6,2
72,34,united kingdom,3,2
73,94,usa,0,0
74,30,netherlands,14,2
75,37,usa,0,2
76,27,usa,0,2
77,13,canada,6,2
79,20,canada,6,2
80,71,canada,6,1
81,41,usa,0,1
82,28,usa,0,2
84,22,usa,0,2
88,104,usa,0,0
89,54,usa,0,1
90,42,usa,0,1
91,43,,8,1
93,50,usa,0,1
94,39,iraq,15,1
95,25,usa,0,2
96,73,finland,16,1
97,101,usa,0,0
98,19,new zealand,17,2
101,26,india,18,2
103,53,usa,0,1
104,47,usa,0,1
105,36,united kingdom,3,2
106,49,usa,0,1
107,110,canada,6,0
108,96,usa,0,0
110,104,usa,0,0
111,25,portugal,2,2
112,32,mexico,10,2
113,36,usa,0,2
115,5,usa,0,2
116,8,usa,0,2
117,57,usa,0,1
118,28,ghana,19,2
119,35,usa,0,2
120,13,france,20,2
121,1,usa,0,2
122,23,usa,0,2
123,24,usa,0,2
124,58,usa,0,1
125,49,usa,0,1
126,24,netherlands,14,2
127,28,switzerland,21,2
128,119,usa,0,0
129,47,usa,0,1
130,76,italy,13,0
131,9,usa,0,2
134,27,australia,4,2
136,96,usa,0,0
138,28,usa,0,2
140,24,germany,9,2
141,61,usa,0,1
142,87,usa,0,0
143,26,usa,0,2
144,62,usa,0,1
145,25,united kingdom,3,2
146,63,usa,0,1
147,52,usa,0,1
148,63,united kingdom,3,1
149,24,slovenia,22,2
150,25,iran,23,2
151,112,australia,4,0
152,26,netherlands,14,2
153,24,france,20,2
154,20,canada,6,2
155,53,peru,24,1
156,20,bosnia and herzegovina,25,2
157,36,italy,13,2
158,38,germany,9,2
159,39,usa,0,1
161,27,portugal,2,2
163,41,vietnam,26,1
164,33,mexico,10,2
166,20,australia,4,2
167,120,usa,0,0
168,44,usa,0,1
169,82,usa,0,0
170,24,usa,0,2
