User_ID,Age,Country,Country_ID
1,5,usa,0
2,18,usa,0
3,81,russia,1
4,17,portugal,2
5,27,united kingdom,3
6,61,usa,0
9,72,usa,0
11,14,australia,4
12,81,usa,0
13,26,spain,5
14,17,usa,0
15,38,canada,6
16,21,usa,0
18,25,brazil,7
19,14,,8
20,19,usa,0
21,46,spain,5
23,4,usa,0
24,19,germany,9
25,55,usa,0
26,117,usa,0
27,32,usa,0
28,24,germany,9
29,19,mexico,10
30,24,usa,0
31,20,china,11
33,34,usa,0
34,102,united kingdom,3
35,17,usa,0
36,24,canada,6
37,23,spain,5
40,32,usa,0
41,14,usa,0
42,17,usa,0
43,56,distrito federal,12
44,51,usa,0
45,82,germany,9
46,31,germany,9
47,21,italy,13
48,51,usa,0
49,90,italy,13
50,17,united kingdom,3
51,34,usa,0
52,82,germany,9
54,44,usa,0
55,26,canada,6
57,51,italy,13
58,108,canada,6
59,23,usa,0
60,45,italy,13
61,30,usa,0
62,51,usa,0
63,57,usa,0
65,98,australia,4
66,30,canada,6
68,4,canada,6
71,24,canada,6
72,34,united kingdom,3
73,101,usa,0
74,30,netherlands,14
75,37,usa,0
76,87,usa,0
77,19,canada,6
79,20,canada,6
80,73,canada,6
81,70,usa,0
82,66,usa,0
84,112,usa,0
88,83,usa,0
89,54,usa,0
90,42,usa,0
91,62,,8
93,50,usa,0
94,39,iraq,15
95,101,usa,0
96,58,finland,16
97,42,usa,0
98,19,new zealand,17
101,26,india,18
103,53,usa,0
104,47,usa,0
105,36,united kingdom,3
106,2,usa,0
107,73,canada,6
108,40,usa,0
110,52,usa,0
111,25,portugal,2
112,32,mexico,10
113,27,usa,0
115,53,usa,0
116,70,usa,0
117,57,usa,0
118,28,ghana,19
119,35,usa,0
120,13,france,20
121,27,usa,0
122,67,usa,0
123,24,usa,0
124,58,usa,0
125,49,usa,0
126,24,netherlands,14
127,28,switzerland,21
128,32,usa,0
129,47,usa,0
130,64,italy,13
131,45,usa,0
134,68,australia,4
136,42,usa,0
138,28,usa,0
140,24,germany,9
141,27,usa,0
142,52,usa,0
143,26,usa,0
144,62,usa,0
145,96,united kingdom,3
146,117,usa,0
147,98,usa,0
148,63,united kingdom,3
149,9,slovenia,22
150,25,iran,23
151,17,australia,4
152,26,netherlands,14
153,24,france,20
154,42,canada,6
155,69,peru,24
156,20,bosnia and herzegovina,25
157,36,italy,13
158,38,germany,9
159,112,usa,0
161,27,portugal,2
163,113,vietnam,26
164,33,mexico,10
166,20,australia,4
167,22,usa,0
168,44,usa,0
169,83,usa,0
170,89,usa,0
171,29,brazil,7
172,66,brazil,7
173,119,usa,0
174,31,sri lanka,27
175,72,portugal,2
177,46,netherlands,14
178,28,usa,0
179,65,pakistan,28
180,22,denmark,29
181,39,pakistan,28
184,89,usa,0
186,99,usa,0
187,29,usa,0
188,17,usa,0
189,31,belgium,30
190,33,belgium,30
191,40,germany,9
192,104,usa,0
193,23,india,18
194,73,usa,0
195,23,usa,0
196,33,malaysia,31
197,4,canada,6
198,21,germany,9
200,27,united kingdom,3
201,90,,8
203,53,usa,0
205,23,turkey,32
206,60,france,20
207,62,usa,0
208,77,germany,9
209,21,malaysia,31
210,54,usa,0
211,21,spain,5
212,21,philippines,33
213,47,usa,0
214,27,usa,0
215,20,canada,6
216,42,spain,5
217,112,usa,0
218,41,india,18
219,64,greece,34
220,0,colombia,35
222,54,usa,0
223,28,pakistan,28
225,62,usa,0
226,91,usa,0
227,27,united kingdom,3
228,41,usa,0
229,22,india,18
231,9,india,18
234,25,finland,16
235,22,portugal,2
238,23,united kingdom,3
239,19,usa,0
240,20,australia,4
241,108,usa,0
245,31,usa,0
246,16,norway,36
248,15,canada,6
251,54,spain,5
252,65,kuwait,37
253,28,italy,13
255,32,chile,38
256,3,usa,0
258,81,lj,39
259,45,usa,0
260,51,usa,0
261,45,germany,9
262,28,usa,0
263,88,usa,0
264,23,taiwan,40
265,24,china,11
266,43,canada,6
267,29,usa,0
268,120,,8
270,14,germany,9
271,22,pakistan,28
273,72,usa,0
274,26,italy,13
275,11,canada,6
276,80,usa,0
277,15,australia,4
278,21,usa,0
279,38,united kingdom,3
280,90,usa,0
281,31,germany,9
282,80,canada,6
283,92,usa,0
284,35,spain,5
285,113,united kingdom,3
286,17,usa,0
287,67,usa,0
288,19,usa,0
289,15,usa,0
290,82,usa,0
292,22,usa,0
293,25,canada,6
294,95,usa,0
295,28,usa,0
296,21,spain,5
297,27,usa,0
298,39,usa,0
299,42,france,20
300,35,usa,0
301,32,usa,0
302,53,usa,0
303,57,usa,0
304,24,usa,0
305,5,usa,0
306,82,usa,0
307,27,finland,16
308,53,españa,41
309,30,united kingdom,3
312,65,,8
314,28,denmark,29
315,120,sweden,42
317,41,usa,0
318,120,,8
319,32,denmark,29
320,37,usa,0
321,24,pakistan,28
322,20,norway,36
324,90,philippines,33
325,23,switzerland,21
327,118,usa,0
328,33,usa,0
329,21,pakistan,28
330,88,philippines,33
331,60,argentina,43
332,59,usa,0
333,23,spain,5
335,27,italy,13
336,27,spain,5
338,0,usa,0
340,15,philippines,33
341,50,france,20
342,28,nigeria,44
343,79,usa,0
344,25,united kingdom,3
345,27,usa,0
346,29,canada,6
347,34,canada,6
348,85,usa,0
349,49,denmark,29
350,116,italy,13
351,111,turkey,32
352,28,usa,0
353,41,spain,5
354,25,brazil,7
355,6,london,45
358,27,usa,0
360,33,spain,5
363,93,germany,9
365,77,italy,13
366,94,bulgaria,46
367,45,usa,0
368,35,usa,0
370,93,usa,0
371,85,mexico,10
373,76,austria,47
374,45,germany,9
375,28,germany,9
377,55,malaysia,31
378,57,usa,0
379,47,canada,6
380,106,usa,0
381,43,usa,0
385,105,france,20
386,20,iran,23
389,22,spain,5
390,48,usa,0
391,27,usa,0
394,25,united kingdom,3
395,24,spain,5
396,43,sweden,42
397,50,portugal,2
398,16,new zealand,17
399,41,nigeria,44
400,0,usa,0
401,28,argentina,43
402,19,united kingdom,3
403,109,usa,0
404,37,usa,0
405,42,germany,9
407,13,pakistan,28
409,50,portugal,2
410,40,united kingdom,3
411,27,usa,0
412,72,usa,0
414,34,usa,0
415,117,usa,0
416,31,usa,0
417,3,usa,0
418,56,usa,0
419,14,usa,0
420,14,australia,4
421,47,usa,0
422,23,canada,6
423,48,united kingdom,3
425,32,canada,6
426,32,usa,0
427,41,australia,4
428,59,usa,0
429,25,usa,0
434,2,usa,0
435,10,usa,0
436,53,australia,4
437,30,canada,6
439,58,usa,0
442,24,united kingdom,3
443,47,usa,0
445,97,usa,0
448,22,usa,0
449,10,usa,0
450,31,italy,13
451,33,usa,0
452,87,usa,0
453,113,usa,0
454,50,united kingdom,3
455,54,canada,6
456,31,usa,0
457,62,united kingdom,3
458,17,usa,0
459,37,usa,0
461,15,singapore,48
462,18,usa,0
464,24,india,18
465,6,usa,0
466,92,usa,0
467,43,usa,0
468,102,usa,0
469,18,usa,0
470,0,usa,0
471,31,australia,4
473,25,philippines,33
474,120,usa,0
475,34,canada,6
477,45,usa,0
478,13,usa,0
479,110,usa,0
480,62,usa,0
481,11,usa,0
482,46,usa,0
484,17,usa,0
485,51,usa,0
488,25,usa,0
490,104,usa,0
491,26,canada,6
492,60,usa,0
495,23,usa,0
496,51,usa,0
497,51,usa,0
498,29,usa,0
502,47,usa,0
504,29,usa,0
506,113,canada,6
509,21,usa,0
510,58,usa,0
511,54,usa,0
512,58,usa,0
513,61,usa,0
514,30,usa,0
515,24,usa,0
517,22,usa,0
519,23,united kingdom,3
520,32,usa,0
521,19,usa,0
522,91,canada,6
523,19,usa,0
524,37,australia,4
525,29,france,20
526,35,germany,9
527,22,germany,9
528,16,singapore,48
529,28,usa,0
531,56,usa,0
532,53,argentina,43
533,31,united kingdom,3
534,59,usa,0
535,24,italy,13
536,20,vietnam,26
537,27,,8
539,16,usa,0
540,67,usa,0
