score,user_rating,es_scaled_score,isbn,book_title,book_author,year_of_publication,publisher,summary,category
4.761904761904762,0,10.0,0440153778,Love,Danielle Steel,1989,Dell,"Love poems describe a love affair, a painful breakup, loneliness, new
encounters, and the discovery of true love",['poetry']
4.552487435962968,0,9.560223615522233,0060925515,Love Love and Love,Sandra Bernhard,1994,Harpercollins,"With her trademark combination of candor, brass, and wit, Bernhard--a
regular on the Roseanne show--presents her singular take on romance,
love, and sex in the &#39;90s.",['fiction']
4.540990382500183,0,9.536079803250386,0679413936,Born for Love: Reflections on Loving,Leo Buscaglia,1992,Slack,"In Born For Love, Leo Buscaglia suggests that loving is a choice that
offers alternatives to frustration, loneliness and fear.",['family & relationships']
4.529342679486936,0,9.511619626922565,0373872496,Loving Care (Love Inspired),Gail Gaymer Martin,2004,Steeple Hill,"The fourth title in the author&#39;s popular Loving miniseries. Ex-
spouses Christine and Patrick Hanuman rediscover their faith, love and
commitment when they are reunited in Loving, Michigan. Original.",['fiction']
4.5159305342567375,0,9.483454121939149,037310443X,First Love Last Love,Mortimer,1981,Harlequin Sales Corp (Mm),"First Love,Last Love by Carole Mortimer released on May 25, 1981 is
available now for purchase.",['romance fiction']
4.451394362203217,0,9.347928160626756,0061096164,True Love,Robert Fulghum,1998,HarperTorch,"Explores the mysteries of love in a collection of real-life love
stories that illuminates the many faces of love",['family & relationships']
4.3689576276174105,0,9.174811017996563,0449911624,Love,Leo Buscaglia,1996,Ballantine Books,"This little book is the result of the interactions of the students in
his course. Dr. Buscaglia&#39;s theory is that love is learned and
that everyone can and should learn to love&quot;--Page 4 of cover.",['psychology']
4.348096458212088,0,9.131002562245385,0821744305,The Law of Love (To Love Again),Martha Schroeder,1994,Zebra Books,"The companion CD to book by Laura Esquivel, The Law of Love.",['fiction']
4.30540844494487,0,9.041357734384228,0373110758,Loving,Penny Jordan,1988,Harlequin,"Loving by Penny Jordan released on Mar 25, 1988 is available now for
purchase.",['fiction']
4.303677962099007,0,9.037723720407916,0590273817,I love mud and mud loves me,Vicki Stephens,1994,Scholastic,"All that Sam loves returns his love, including his mother.",['love stories']
4.282662530444169,0,8.993591313932756,0871135515,On Love,Alain De Botton,1993,Pub Group West,"In a novel that explores the realities of &quot;being in love,&quot;
two young people meet on a plane to Paris and embark on a love affair
based on what they perceive as destiny. A first novel. 25,000 first
printing. National ad/promo.",['fiction']
4.276056348957856,0,8.979718332811498,0800716779,Gifts of Love,Helen Steiner Rice,1993,Fleming H. Revell Company,"Poems exploring different types of love are complemented by Scripture
verses and literary passages on the theme of love",['poetry']
4.249594773482269,0,8.924149024312767,0449909298,Born for Love: Reflections on Loving,Leo F. Buscaglia,1994,Ballantine Books,"Essays by the popular author of Love treat every facet of
relationships and challenge readers to earn the love they seek through
soul-searching, prizing differences between partners, and making the
hard decision between fidelity and moving ...",['psychology']
4.221136820510602,0,8.864387323072265,0449234525,Love:,Buscaglia F.,1987,Fawcett Books,"This book is about love. What it is and what it isn&#39;t. It is about
you--and about everybody who has ever reached out to touch the heart
of another. Among many other lessons of the heart, Leo Buscaglia
reminds us: Love is open arms.",['love']
4.21216576622491,0,8.845548109072311,044920846X,Love,Leo Buscaglia,1994,Fawcett Books,"Explores the many aspects of love including its existence as a learned
phenomenon and its deterrents, needs, and responsibilities",['religion']
4.206524536655361,0,8.833701526976258,0373871201,Test Of Love (Love Inspired),Irene Brand,2000,Steeple Hill,"The Test Of Love by Irene Brand released on Aug 25, 2000 is available
now for purchase.",['fiction']
4.206524536655361,0,8.833701526976258,0373871759,Power Of Love (Love Inspired),Margaret Daley,2002,Steeple Hill,"The Power Of Love by Margaret Daley released on Feb 22, 2002 is
available now for purchase.",['fiction']
4.206524536655361,0,8.833701526976258,0373871775,Gifts Of Love (Love Inspired),Crystal Stovall,2002,Steeple Hill,"Gifts Of Love by Crystal Stovall released on Mar 25, 2002 is available
now for purchase.",['fiction']
4.206524536655361,0,8.833701526976258,0373870604,Healing Love (Love Inspired),Doris English,1999,Steeple Hill,"A Healing Love by Doris English released on Feb 22, 1999 is available
now for purchase.",['fiction']
4.1858718199853335,0,8.790330821969201,0060187840,True Love: Stories,Robert Fulghum,1997,Harpercollins,"Explores the mysteries of love in a collection of real-life love
stories that illuminates the many faces of love",['family & relationships']
4.184969006492262,0,8.78843491363375,0380976943,Women & Love,Mira Kirshenbaum,1999,William Morrow & Company,"Starting with experience #1-Love Adventures-she presents the radical
idea that you have to make mistakes before you can find the love of
your life. This is where you do crazy things in the name of love.",['self-help']
4.180324520591133,0,8.778681493241379,0890872449,Loving Relationships,Sondra. Ray,1980,Ten Speed Pr,"Working through the depths of self-awareness using affirmations and
emotional exercises, this book shows that loving relationships begin
with self-love.",['family & relationships']
4.1697172749048335,0,8.756406277300151,0373872410,Loving Ways (Love Inspired),Gail Gaymer Martin,2003,Steeple Hill,"Martin&#39;s Loving miniseries, set in Loving, Michigan, continues
with this story of Annie O&#39;Keefe, who after caring for her ailing
father meets landscaper Ken Dewitt, who shows her the meaning of faith
and healing. Original.",['fiction']
4.158158083018357,0,8.73213197433855,0671891200,LOVE AND FRIENDSHIP,Allan Bloom,1994,Simon & Schuster,"Argues that basic human connections--love and friendship--are
withering away, and asserts that humans&#39; impoverished feelings are
rooted in an impoverished language of love",['philosophy']
4.115733074242117,0,8.643039455908447,0452279488,The Love Letter,Cathleen Schine,1998,Plume Books,"Helen MacFarquhar, the owner of a small town bookstore, is swept away
by a mysterious love letter that asks, &quot;How do you fall in
love?&quot;",['fiction']
4.115733074242117,0,8.643039455908447,0843938641,Winter Love,Norah Hess,1995,Leisure Books,"Laura barely clears her head of Fletcher&#39;s musky scent when
circumstances separate the love birds and threaten to end their winter
love.",['frontier and pioneer life']
4.105566939110056,0,8.621690572131119,0515110647,"The Cave of Love (Camfield Novel of Love, No 115)",Barbara Cartland,1993,Jove Books,"Salema must chose between love and her family when she meets and falls
in love with the son of the man she is betrothed to. Original.",['fiction']
4.09541995128297,0,8.600381897694238,0385246641,Love and Marriage,Bill Cosby,1989,Bantam Dell Pub Group,"A wry, on-target look at the institutions of love and marriage recalls
first crushes, first dates, and first kisses with humor, and explores
the foibles of modern and even postmodern love",['humor']
4.09541995128297,0,8.600381897694238,0671874365,VIRTUAL LOVE,"Avodah K., m.d. Offit",1994,Simon & Schuster,"An exploration of love and human sexuality follows the burgeoning
passion between two sex therapists communicating by E-Mail, as they
discuss their clients, share emotions, and fall in love",['fiction']
4.09541995128297,0,8.600381897694238,0449908305,Imagine Love,Katherine Stone,1996,Fawcett Books,"Imagine Love is an enthralling read, a beautifully crafted tapestry of
suspense and love, of surprises you won&#39;t imagine, and of men and
women you will never forget.",['fiction']
4.083162785939666,0,8.574641850473299,0747543674,The Map of Love,Ahdaf Soueif,1999,Bloomsbury Publishing PLC,A story of two love affairs separated by 100 years.,['domestic fiction']
4.07567329953516,0,8.558913929023838,0689821344,HARD LOVE,Ellen Wittlinger,1999,Simon & Schuster Children's Publishing,"John and Marisol, two young &#39;zine writers, fall in love amid the
bohemian life of Boston and, in the process, learn how exciting and
difficult first love can be.",['juvenile fiction']
4.07567329953516,0,8.558913929023838,0312957564,Love Stories,Lynn Curtis,1996,St. Martin's Press,"The world has as many love stories as it has beating hearts. Now you
can experience the power of ageless love in this engaging collection
of beautifully crafted and atmospheric stories.",['fiction']
4.071359014327375,0,8.549853930087489,078945338X,Love: Meditations on Love by Sister Wendy,Wendy Beckett,2000,Dorling Kindersley Publishing,"Explores the spiritual message about love contained within nineteen
works of art.",['art']
4.038711775535117,0,8.481294728623746,0373870035,Risk Of Loving (Love Inspired (Numbered)),Jane Peart,1997,Steeple Hill,"The Risk Of Loving by Jane Peart released on Jul 25, 1997 is available
now for purchase.",['fiction']
4.038711775535117,0,8.481294728623746,0373870760,For Love Of Zach (Love Inspired (Numbered)),Cheryl Wolverton,1999,Steeple Hill,"For Love Of Zach by Cheryl Wolverton released on Aug 25, 1999 is
available now for purchase.",['fiction']
4.03778692457783,0,8.479352541613443,0525149023,Love: A Novel,Susan Fromberg Schaeffer,1981,Penguin USA,"A story of two Jewish immigrant families brought together by marriage
describes their complex lives in Brooklyn, centering on Esheal Luria,
who has struggled all his life to love and be loved",['fiction']
